Majestic Monuments of India
Taj Mahal
Qutub Minar Complex
Sun Temple Konark
"Group of Monuments, Hampi"
Khajuraho
Ajanta Caves
Fatehpur Sikri Complex
Group of Monuments
Champaner-Pavagadh Archaelogical Park
Ellora Caves
Great Living Chola Temples
Pattadakal monuments
Chittaurgarh Fort
Red Fort Complex
Buddhist Monuments at Sanchi
Humayun's Tomb
Agra Fort
Elephanta Caves
Charminar
Rani Ki Vav
Leh Palace
Udayagiri Caves
"Gwalior Fort, Gwalior"
Gol Gumbaz
Palace of Tipu Sultan
Buddhist Kanheri Caves
Jantar Mantar
Kumbhalgarh Fort
Bishnupur Temples
Tomb of RabiaDurani (Bibi KaMaqbara)
Cooch Behar Palace
Warangal Fort
"Fort, Dindigul"
Dhamekh Stupa in Sarnath
Mattancherry Palace Museum
Suraj Kund
Hidimba Devi Temple
Bekal Fort
Aga Khan Palace Building
Shaniwarwada
Tughlaqabad Fort
Ancient Site of Vikramshila
Ram Nagar Palace
Aurangabad Caves
Safdarjung Tomb
Baijnath Group of Temples
Vangchia Monuments
Buddhist Cave Groups
Vishnudol
Kudakallu Parambu 
Eight Cannons of the Ahom Period
Group of Four Maidams
Gola-Ghar or Magazine House
Jumma Masjid (Masjid-E-Ala)
Fort of Kalinjar
Talatal Ghar & Kareng Ghar 
Fifteen Temples at Lonar
Shiva Temple
Sun Temple
Thomas Inman's Dungeon
Purana Qila
Durga Temple
Pandulena Caves
Sultan Ghari’s Tomb 
Rajarani Temple
Tabo Buddhist Monastery
Deeg Palaces
Gaurisagar Tank
Kalyani (Ornate Stepped Tank)
Ancient Temple of Martand
Mariam's Tomb 
Mehtab Bagh
Daulatabad Fort
Gingee Fort
"Temple and Sculpture Gallery, Lakkundi"
Man Singh Observatory
Sher Shah Suri's Tomb
"Caves, Temples and Inscriptions, Karla"
"Caves, Temples and Inscriptions, Junnar"
"Akbar's Tomb, Sikandara"
Ashokan Rock Edicts
Bahamani Tombs
Buddhist Stupa Site of Sannati
Ghanashyam House
Hazarduari Palace
Hoysaleswara Temple
Jageshwar Temples
Jaina and Vaishnava Caves
Krimchi Temple Complex
Nagarjunakonda
Obelisk Monument inside Fort
Parsvanatha Basadi
Ancient Palace Ramnagar
Sri Ranganathaswamy Temple
Sun Temple
Chandragiri
Daryia Daulat Bagh
Caves at Badami
Golkonda Fort
Ranghar Ruins
Rani Kamlapati Palace 
"Cave, Temple & Inscriptions, Bhaja"
Raigad Fort
Ahom Raja’s Palace
Avantisvami Temple
"Ancient site and remains, Burzahom"
Gawligarh Fort
Ibrahim Rouza
Jain Basti
Rani Mahal
Ranthambhore Fort
Rock-Cut Temples
Sakyas Site
Gumbaz Tipu Sultan
Vikramshila Monastery
"Fort, Tirumayam"
Itimad-ud-Daulah Tomb
Tomb Of Abdul Rahim Khan-I-Khana
Hoshang Shah’s Tomb
Vaishali
Awantiswami Vishnu Temple
Bidar Fort
Devidol
Jhansi Fort
Kedaresvara Temple
Keshava Temple
Laxman Temple & Old Sites
Relic Stupa Vaishali/Kolhua
Residency Building
The site of Sahet-Mahet
Tipu Sultan Memorial
Udaygiri Caves
"Fort, St. George"
Rambagh
Chitradurga Fort
Roopmati’s Pavilion
Kotla Firoz Shah Fort
"Kolaba Fort, Alibag"
"Old Fort, Sholapur"
"Archaeological Site Museum, Old Goa"
"Archaeological Site Museum, Lothal"
"Archaeological Site Museum, Ratnagiri"
"Archaeological Site Museum, Dholavira"
Red Fort Museum
Sri Kanthairava Statue in Narasimha Temple
Konark Museum
"The Archaeological Museum, Nalanda"
"Archaeological Site Museum, Sanchi"
"Archaeological Museum, Aihole"
"Archaeological Museum, Vijayapura"
"Archaeological Site Museum, Gwalior"
Sheikh Chilli’s Tomb
Statue of Unity
Amaravati Archaeological Museum
Archaeological Museum
"Archaeological Site Museum, Vikramshila"
Archaeological Site Museum Assam
"Archaeological Site Museum, Badami"
Archaeological Site Museum Halebid 
"Archaeological Museum, Kalibangan"
"Archaeological Site Museum, Tamluk"
Muvarkoil
Site of Mauryan Palace
"Rock-cut Jaina temple, Sittannavasal"
Purana Quila Museum
Jaunpur Fort
Prince of Wales Museum
"Archaeological Site Museum, Ropar"
"Archaeological Museum, Vaishali"
Lord Cornwallis Tomb
Buddhist Stupa and Remains
Rock cut Cave Temple
"Ruined Fort, Shimla"
"Archaeological Site Museum, Sarnath"
"Archaeological Museum, Kondapur"
"Archaeological Site Museum, Chanderi"
Bellary Fort
"Natural Cavern with stone beds, Eladipattam"
Mahachaitya or Mahastupa at Amaravati
Excavated Site Vikramshila
